Sokoban Evaluation Report
dataset=microban solver=a_star generated_at_utc=20260508T195323Z

Summary
total_levels=151
solved_levels=151
solve_rate=1.0000
avg_time_sec=7.8142
avg_path_length_solved=31.2318
avg_explored_states=11819.40
deadlock_totals=2x2=249870, corner=1611986, dead_square=490182

Per-level
level_id solved time_sec path_len explored corner dead_square 2x2
      1 True     0.0019        8       14     16           0   0
      2 True     0.0006        3        4      0           4   0
      3 True     0.0046       13       36     17           0   1
      4 True     0.0038        7       11      3          33   2
      5 True     0.0089        6       13      6          47   1
      6 True     0.0150       29       67     18          42   7
      7 True     0.0071        6        9      0          30   0
      8 True     0.0125       32       80     30           0   4
      9 True     0.0013       10       13     23           0   1
     10 True     0.0155       21       65     43           0  18
     11 True     0.0108       16       40     32          15   9
     12 True     0.0024       11       16     12           5   0
     13 True     0.0054       21       33     13           0   3
     14 True     0.0018       10       14     13           4   0
     15 True     0.0031       12       26      8           6   2
     16 True     0.3476       39     1092    773         289 127
     17 True     0.0023        9       14     12           9   2
     18 True     0.0043       13       18      6           2   0
     19 True     0.0079       20       56     30           0   2
     20 True     0.0079       16       46     16           7   1
     21 True     0.0010        5        7      8           3   0
     22 True     0.0139       15       53     77           9   6
     23 True     0.0034       10       18     22           0   0
     24 True     0.0023        9       15      6           3   0
     25 True     0.0022        7        8     12           7   0
     26 True     0.0072       10       45     57           3   0
     27 True     0.0032       10       20      9           0   1
     28 True     0.0027        9       17     13          10   1
     29 True     0.0227       22       76     59          16   8
     30 True     0.0013        5        6      7           0   0
     31 True     0.0034        6       18     28           4   0
     32 True     0.0052        9       31     65           0   0
     33 True     0.0031       10       14      5           0   0
     34 True     0.0081        8       18      8          55   0
     35 True     0.1538       31      429    850          73 290
     36 True     5.9128       59    18703   8109        2305 9536
     37 True     0.0081       23       37     11           4   8
     38 True     0.0042        8       14      5           5   5
     39 True     0.0168       27      103     41           5   2
     40 True     0.0020        7       12     10           2   0
     41 True     0.0039       13       20     14          22   0
     42 True     0.0223       15      125     86          24  19
     43 True     0.0483       22      179     97          27  50
     44 True     0.0000        1        2      0           0   0
     45 True     0.0027       11       21      7           0   3
     46 True     0.0028        8       14     13           0   0
     47 True     0.0156       22       79     24          10   4
     48 True     0.0187       14       69     45          47   5
     49 True     0.0242       21      105     64          68  11
     50 True     0.0078       17       29     16           0   2
     51 True     0.0017        8        9     12           2   0
     52 True     0.0047        8       17      8           3   0
     53 True     0.0095       12       59     40           0   0
     54 True     0.5933       30     1399   1757         698 192
     55 True     0.0123       27       70     38           0   5
     56 True     0.0012        6        8      7           7   0
     57 True     0.0127       23       77     29           9   6
     58 True     0.0024       11       17     22           2   1
     59 True     0.6734       50     1064   1032         134 198
     60 True     0.0570       44      256     54          72   0
     61 True     0.0231       21       77     74           0   2
     62 True     0.0182       30       91     58          37  21
     63 True     0.0346       50      202     77           0  10
     64 True     0.0524       30      244    171          87   1
     65 True     0.0835       41      257    279          64  28
     66 True     0.0509       15       82     68          28   0
     67 True     0.0036        8       21     30           0   0
     68 True     0.0568       28      279    226           0  26
     69 True     0.5459       37     1532   1258         442  75
     70 True     0.0240       26       82     67          55  40
     71 True     0.0192       21       50     19          19   1
     72 True     0.2088       40      865    469         196  43
     73 True     0.0556       25      180    136          42  33
     74 True     0.2446       34      844    543           0  82
     75 True     0.1118       34      432    447         184 129
     76 True     0.1085       56      405    127           1  48
     77 True     0.0777       55      312    301           0  75
     78 True     1.3002       33     1971   2327        1483 998
     79 True     0.0114       18       60     40          27   0
     80 True     0.4457       38     1361    929         972 115
     81 True     0.0093       12       55     36          22   4
     82 True     0.0041       14       26     16           7   0
     83 True     2.6005       47     5785   7570        1557 496
     84 True     1.0426       68     2856   1668         458 197
     85 True     0.0963       51      271    116          47  30
     86 True     0.0165       25       59     64           9   0
     87 True     2.2284       53     5975   7518         732 445
     88 True     1.1324       63     2347   1073           0 308
     89 True     0.2193       35      786    340           0 123
     90 True     0.3348       16     1003    617          96 106
     91 True     0.0153       14      113     38          17   6
     92 True     0.3469       48     1233    368          53  81
     94 True     0.0712       29      433    182         132   4
     95 True     0.0076        8        9      0          22   0
     96 True     0.2569       37     1054    272         177  48
     97 True     0.5252       41      926    611         214 365
     98 True    55.3140      110    96216 103268       42032 6598
     99 True    99.2385      131   150589  79068       30933 14862
    100 True     0.3559       52     1642   1348         329 358
    101 True     0.2097       15      201    270           0   0
    102 True     0.4010       44      983     60         947 148
    103 True     0.0373       12      119    190           0   2
    104 True     0.0725       27      234    207          40  41
    105 True    33.1118       24    56020  65865           0   0
    106 True     1.8649       50     4575   2704        1617 1684
    107 True     0.1215       10      151      0         506   0
    108 True    18.3389       68    31855  35450           0 3047
    109 True    19.6027       42    34611  61618           0 4168
    110 True     0.2327       14     1076   1170           0   0
    111 True   164.0795       61   244447 184043      179191 35231
    112 True   144.3934       94   229489 204636       78662 25028
    113 True    15.0568       51    17367  28794         971 422
    114 True     8.1870       60    20285  15508        2741 6503
    115 True     0.5697       29     1259   1371         280 237
    116 True     0.0402       14      133    155          39   2
    117 True    30.6794       47    40352  92378           0 2778
    118 True     0.6605       44     1592   2102         110 247
    119 True     0.0321       18       77     72          48   3
    120 True     0.6248       64     2566   1856           8 210
    121 True     1.0361       47     2954   2932         420 292
    122 True    82.8386       90   126389  81164       59655 20484
    123 True   293.3969      101   354830 247472       33097 79150
    124 True     0.0707       39      160     93          48  17
    125 True     0.3642       38      997    399           0 156
    126 True     4.7420       23    11359   5764        1777 1416
    127 True     0.2584       32      877   1430         223  12
    128 True     0.1009       19      345    518          60  26
    129 True     0.2868       22      910   1422         367  76
    130 True     0.9656       36     2431   1677        1344 384
    131 True     0.7749       31     2007   2210         795 129
    132 True     0.2081       37      747    902         127 105
    133 True     0.9013       39     2360   1374           7 563
    134 True    15.9005       76    25562  12122        1320 4799
    135 True     0.5452       36     1449    453         551 122
    136 True     0.1400       25      409    303           0 107
    137 True     8.5292       46    12332  13276        3424 659
    138 True    51.4770       54    72704  87733       23959 3435
    140 True     6.9865       80    12632  17530        1265 1075
    141 True     3.7853       52    13664  14675        5719 3301
    142 True     0.7735       20     1795   2481           0 468
    143 True    55.1480       65   110078 152356        4230 14435
    145 True     4.8912       18     3804   1168        1498   0
    146 True    21.0604       14    11372  22375           0   0
    147 True     0.9999       50     2515   1905         142 166
    148 True     1.2666       49     2914   2291         323 643
    149 True     0.1285       35      474    256          70  50
    150 True     5.5905       43     8675   9075           0 638
    151 True     1.7896       50     3308   1643           0 772
    152 True     1.0481       35     1430    852           0 348
    154 True     0.0036        2        3      0           0   0
    155 True     0.1642      175      197     29           5   0
