Sokoban Evaluation Report
dataset=microban solver=bfs generated_at_utc=20260509T190708Z

Summary
total_levels=151
solved_levels=149
solve_rate=0.9868
avg_time_sec=10.7474
avg_path_length_solved=31.4362
avg_explored_states=37385.07
deadlock_totals=2x2=459053, corner=4702312, dead_square=991178

Per-level
level_id solved time_sec path_len explored corner dead_square 2x2
      1 True     0.0020        8       22     21           0   0
      2 True     0.0012        3        9      0          14   0
      3 True     0.0078       13       81     48           0   1
      4 True     0.0104        7       45     27          90  30
      5 True     0.1305        6      426    179         878  57
      6 True     0.0780       29      425    154         313  29
      7 True     0.3404        6      902      0        3147   0
      8 True     0.0168       32      124     58           0   9
      9 True     0.0015       10       18     27           0   1
     10 True     0.0217       21      120     67           0  42
     11 True     0.0151       16       88     84          21   9
     12 True     0.0032       11       31     17           7   0
     13 True     0.0473       21      333    354           0  55
     14 True     0.0015       10       15     13           4   0
     15 True     0.0032       12       33     13           6   3
     16 True     0.2661       39     1416    999         323 146
     17 True     0.0064        9       53     52          29   7
     18 True     0.0115       13       83     55           8   6
     19 True     0.0072       20       72     39           0   3
     20 True     0.0093       16       72     31           8   2
     21 True     0.0011        5       11     10           5   0
     22 True     0.0144       15       70    108          20   6
     23 True     0.0029       10       23     24           0   0
     24 True     0.0058        9       62     37           7   0
     25 True     0.0095        7       85     83          34   0
     26 True     0.0113       10      110    116          17   3
     27 True     0.0053       10       46     30           0   4
     28 True     0.0029        9       24     18          15   3
     29 True     0.0176       22       83     70          20   8
     30 True     0.0085        5       78     73          26   0
     31 True     0.0088        6       69    100          27   0
     32 True     0.0052        9       43     88           0   0
     33 True     0.0429       10      287    104         104   4
     34 True     0.0460        8      181    189         331  51
     35 True     1.1121       31     5528   5913        1033 2713
     36 True     3.6941       59    20158   9201        2433 11076
     37 True     0.0420       23      279    200          78  47
     38 True     0.0106        8       55     25          17  18
     39 True     0.0148       27      112     45           6   2
     40 True     0.0102        7       89    110          21   0
     41 True     0.0084       13       55     42          57   1
     42 True     0.0205       15      164    120          33  25
     43 True     0.0608       22      339    275          51  82
     44 True     0.0000        1        2      0           0   0
     45 True     0.0128       11      122     61          10  12
     46 True     0.0026        8       19     17           0   1
     47 True     0.0145       22      100     29          18   4
     48 True     0.0323       14      185    138         123  13
     49 True     0.0346       21      215    145         143  22
     50 True     0.0123       17       65     60           0   4
     51 True     0.0042        8       32     34          11   0
     52 True     0.0872        8      522    628         230   0
     53 True     0.0211       12      200    152           0  14
     54 True     0.8136       30     3593   4266        1951 331
     55 True     0.0127       27      103     53           0   9
     56 True     0.0019        6       16     14          11   0
     57 True     0.0107       23       90     37          10   7
     58 True     0.0079       11       69     89          13   6
     59 True     0.7732       50     2043   2176         196 258
     60 True     0.3563       44     2181    556         549 135
     61 True     0.0791       21      345    353           0  22
     62 True     0.1333       30      710    685         563 188
     63 True     0.0332       50      235     82           0  13
     64 True     0.0587       30      379    339         186   3
     65 True     1.1043       41     4882   4461        1095 1047
     66 True     0.2729       15      735    856         293   8
     67 True     0.0051        8       41     60           0   0
     68 True     0.0582       28      424    340           0  40
     69 True     0.4716       37     2065   1558         499 120
     70 True     0.4502       26     2435   2245        1178 292
     71 True     0.0331       21      127     38          54   1
     72 True     0.2017       40     1178    639         283  62
     73 True     0.2226       25     1128    644         213 131
     74 True     0.5990       34     3119   2393           0 241
     75 True     0.2542       34     1350   1053         669 459
     76 True     0.4372       56     1883   1241         177 162
     77 True     0.7696       55     4242   4080           0 789
     78 True     3.5501       33    11399  15249        7412 4259
     79 True     0.0339       18      212    159         108   1
     80 True     0.3935       38     1782   1307        1129 116
     81 True     0.0208       12      146    134          73  18
     82 True     0.0057       14       44     23          19   0
     83 True     1.8133       47     6817   8619        1737 1204
     84 True     0.8108       68     3692   1871         459 322
     85 True     1.4073       51     5397   3445         282 347
     86 True     0.2455       25     1254   1849         206  35
     87 True     1.7626       53     8304   9453         832 530
     88 True     0.7832       63     2908   1363           0 418
     89 True     1.1883       35     6243   3244           0 1071
     90 True     0.6520       16     3091   2562         652 486
     91 True     0.0562       14      512    251         170 107
     92 True     0.3072       48     1548    488          64 135
     94 True     0.0566       29      469    195         142   7
     95 True     2.6751        8     7492      0       17215   0
     96 True     0.2021       37     1202    316         252  49
     97 True     3.0115       41    10301   9788        1703 2936
     98 True    29.0521      110    97076 104554       42469 6607
     99 True    55.3852      131   151108  79297       31437 14944
    100 True     0.3440       52     2265   1880         527 504
    101 True     0.5691       15     1232   2216           0   0
    102 True     1.4950       44     5596   2005        4173 719
    103 True     0.2049       12     1049   2009           0  46
    104 True     0.0808       27      380    363          98  71
    105 True   297.7003       24   889783 1407588           0   0
    106 True     2.6012       50    11616   6801        3589 3835
    107 True     1.1489       10     3236      0        8191 2283
    108 True    11.3045       68    34272  38771           0 3325
    109 True    20.9212       42    65881 109965           0 15805
    110 True     0.2951       14     2146   2268           0   0
    111 True   111.5345       61   345594 249481      255413 68758
    112 True    76.6697       94   237674 209851       82143 25686
    113 True    10.7376       51    27463  40089        1851 797
    114 True    12.8301       60    54082  48690        6359 16542
    115 True     6.6172       29    24398  29553        3462 3037
    116 True     0.4521       14     2584   3589         444 435
    117 True    63.1604       47   139802 337663       13144 13096
    118 True     2.3776       44     7789  13850        1395 785
    119 True     0.0703       18      269    304         123   5
    120 True     0.8917       64     5016   3416          46 374
    121 True     2.4905       47    11969   8011        3403 1691
    122 True    50.3295       90   154905  90612       60262 26247
    123 True   176.5348      101   473624 339585       36762 103826
    124 True     0.5958       39     2371   1058         632 136
    125 True     1.5460       38     6775   5676         736 638
    126 True    33.6341       23   155169 116935       44509 21803
    127 True     0.4148       32     1975   3216         620  55
    128 True     0.2638       19     1539   1715         233  98
    129 True     0.6439       22     3581   4780        1022 286
    130 True     1.5712       36     6716   4993        2915 1146
    131 True     0.7973       31     3904   3716        1363 214
    132 True     0.3247       37     1821   1839         247 220
    133 True     7.2957       39    26785  29252        8399 8585
    134 True    10.5966       76    30834  15269        1787 5681
    135 True     0.7621       36     3400   1547        1035 358
    136 True     0.4587       25     2131   1988           0 500
    137 True     7.3731       46    20582  21514        5668 973
    138 True    30.6750       54    88982 107379       28044 4829
    140 True     7.8765       80    21594  33005        3481 2385
    141 True     3.7284       52    21483  21134        9151 4822
    142 True     0.5211       20     2339   3192           0 592
    143 True    40.3312       65   153558 190286        4876 22822
    145 False  234.0261        -  1000003 497460      270373 1859
    146 False  210.0641        -  1000002 215643           0   0
    147 True     0.6344       50     2716   2010         162 198
    148 True     0.8480       49     3071   2402         341 664
    149 True     0.2349       35     1285    799         175  70
    150 True    51.7910       43   169680 161034           0 34878
    151 True     4.7531       50    16341   9888           0 3988
    152 True     2.6420       35     5526   3084           0 957
    154 True     0.0055        2        6      0           0   0
    155 True     0.1534      175      200     30           5   0
